Sample File	C:\Users\EARL_Administrator\Desktop\OVERNIGHT THE REAL DEAL\Sucrose to Ammonium Sulfate\1. Sucrose pre mixing tube\Sucrose pre mixing.S80									
Classifier Model	3080									
DMA Model	3081									
DMA Inner Radius(cm)	0.00937									
DMA Outer Radius(cm)	0.01961									
DMA Characteristic Length(cm)	0.44369									
CPC Model	3776 Low Flow									
Reference Gas Viscosity (Pa*s)	1.83E-05									
Reference Mean Free Path (m)	6.73E-08									
Reference Gas Temperature (K)	296.15									
Reference Gas Pressure (kPa)	101.3									
Channels/Decade	64									
Multiple Charge Correction	FALSE									
Nanoparticle Aggregate Mobility Analysis	FALSE									
Diffusion Correction	FALSE									
Units	dw/dlogDp									
Weight	Number									
Sample #	1		2		3		4		5	
Date	9/4/21		9/4/21		9/4/21		9/4/21		9/4/21	
Start Time	13:11:24		13:13:42		13:15:57		13:18:12		13:20:27	
Diameter Midpoint										
17.7	11.433301	8	11.433301	6	11.433301	1	11.433301	5	11.433301	2
17.8	11.466783	3	11.466783	6	11.466783	4	11.466783	8	11.466783	4
17.9	11.50014	8	11.50014	3	11.50014	2	11.50014	3	11.50014	3
18	11.533706	4	11.533706	7	11.533706	5	11.533706	3	11.533706	7
18.1	11.567486	1	11.567486	3	11.567486	3	11.567486	8	11.567486	4
18.2	11.601253	4	11.601253	7	11.601253	3	11.601253	4	11.601253	6
18.3	11.635006	5	11.635006	5	11.635006	7	11.635006	4	11.635006	3
18.4	11.669086	6	11.669086	10	11.669086	3	11.669086	8	11.669086	2
18.5	11.703155	5	11.703155	6	11.703155	4	11.703155	4	11.703155	7
18.6	11.737209	9	11.737209	7	11.737209	8	11.737209	3	11.737209	3
18.7	11.771593	12	11.771593	7	11.771593	8	11.771593	5	11.771593	3
18.8	11.805966	7	11.805966	8	11.805966	3	11.805966	5	11.805966	5
18.9	11.840324	6	11.840324	9	11.840324	3	11.840324	7	11.840324	8
19	11.875014	8	11.875014	7	11.875014	5	11.875014	4	11.875014	7
19.1	11.909694	5	11.909694	4	11.909694	3	11.909694	12	11.909694	6
